price,dispaly_res_type,os,processor_brand,connectivity_feature,battery,ram,internal_storgar,mobile_brand,dispaly_size_in_inches,back_camera,front_camera
8999,HD+,Android 14,Mediatek,4,6000,8,128,MOTOROLA,6.6,50.0,16.0
22999,Full HD+,Android 13,Mediatek,5,5000,8,128,Motorola,6.55,50.0,32.0
7499,HD+,Android 13,other,4,5000,8,128,Motorola,6.5,13.0,5.0
6999,HD+,Android 14,other,4,5000,4,64,MOTOROLA,6.6,16.0,5.0
9999,Full HD+,Android 12,Snapdragon,4,5000,8,128,Motorola,6.5,50.0,16.0
9999,Full HD+,Android 12,Snapdragon,4,5000,8,128,Motorola,6.5,50.0,16.0
15999,Full HD+,Android 13,Mediatek,5,6000,12,256,Motorola,6.5,50.0,16.0
6999,HD+,Android 14,other,4,5000,4,64,MOTOROLA,6.6,16.0,5.0
7999,HD+,Android 14,other,4,5000,8,128,MOTOROLA,6.6,16.0,5.0
7999,HD+,Android 14,other,4,5000,8,128,MOTOROLA,6.6,16.0,5.0
22999,Full HD+,Android 13,Mediatek,5,5000,8,128,Motorola,6.55,50.0,32.0
7999,HD+,Android 14,other,4,5000,8,128,MOTOROLA,6.6,16.0,5.0
7499,HD+,Android 13,other,4,5000,8,128,Motorola,6.5,13.0,5.0
7999,HD+,Android 14,Mediatek,4,6000,4,128,MOTOROLA,6.6,50.0,16.0
9999,Full HD+,Android 12,Snapdragon,4,5000,8,128,Motorola,6.5,50.0,16.0
7999,HD+,Android 14,other,4,5000,8,128,MOTOROLA,6.6,16.0,5.0
8499,Full HD+,Android 13,other,4,5000,4,128,Motorola,6.5,50.0,8.0
8499,Full HD+,Android 13,other,4,5000,4,128,Motorola,6.5,50.0,8.0
6999,HD+,Android 14,other,4,5000,4,64,MOTOROLA,6.6,16.0,5.0
22999,Full HD+,Android 13,Mediatek,5,5000,8,128,Motorola,6.55,50.0,32.0
26999,Full HD+,Android 13,Mediatek,5,4400,8,256,Motorola,6.5,50.0,32.0
9999,Full HD+,Android 12,Snapdragon,4,5000,8,128,Motorola,6.5,50.0,16.0
6499,HD+,Android 13,other,4,5000,4,64,Motorola,6.5,13.0,5.0
26999,Full HD+,Android 13,Mediatek,5,4400,8,256,Motorola,6.5,50.0,32.0
24999,Full HD+,Android 13,Mediatek,5,5000,12,256,Motorola,6.55,50.0,32.0
9999,Full HD+,Android 12,Snapdragon,4,5000,8,128,Motorola,6.5,50.0,16.0
8499,Full HD+,Android 13,other,4,5000,4,128,Motorola,6.5,50.0,8.0
8499,Full HD+,Android 13,other,4,5000,4,128,Motorola,6.5,50.0,8.0
26999,Full HD+,Android 13,Mediatek,5,4400,8,256,Motorola,6.5,50.0,32.0
6499,HD+,Android 13,other,4,5000,4,64,Motorola,6.5,13.0,5.0
7499,HD+,Android 13,other,4,5000,8,128,Motorola,6.5,13.0,5.0
8999,HD+,Android 13,Mediatek,4,5000,4,128,Motorola,6.5,50.0,8.0
7999,HD+,Android 10,Snapdragon,4,5000,4,64,Motorola,6.5,48.0,8.0
7499,HD+,Android 12,Mediatek,4,5000,4,64,Motorola,6.5,50.0,8.0
26999,Full HD+,Android 13,Mediatek,5,4400,8,256,Motorola,6.5,50.0,32.0
14999,Full HD+,Android 11,Snapdragon,4,6000,6,128,Motorola,6.78,108.0,32.0
14999,Full HD+,Android 11,Snapdragon,4,6000,6,128,Motorola,6.8,108.0,32.0
7580,HD+,Android 10,Snapdragon,4,5000,4,64,Motorola,6.5,48.0,8.0
15999,Full HD+,Android 11,Snapdragon,4,6000,6,128,Motorola,6.78,108.0,32.0
12999,Full HD+,Android 11,Mediatek,4,5000,6,128,Motorola,6.4,50.0,13.0
7499,HD+,other,Mediatek,4,5000,4,64,MOTOROLA,6.5,16.0,8.0
16999,Full HD+,Android 12,Mediatek,4,5000,6,128,Motorola,6.55,108.0,16.0
10999,Full HD+,Android 12,Snapdragon,4,5000,4,64,Motorola,6.5,50.0,16.0
16999,Full HD+,Android 12,Mediatek,4,5000,6,128,Motorola,6.55,108.0,16.0
10999,HD+,Android 12,Mediatek,4,5000,4,64,Motorola,6.5,50.0,16.0
10999,Full HD+,Android 12,Snapdragon,4,5000,4,64,Motorola,6.5,50.0,16.0
10999,HD+,Android 12,Mediatek,4,5000,4,64,Motorola,6.5,50.0,16.0
34999,Full HD+,Android 12,Snapdragon,5,4400,8,128,Motorola,6.55,50.0,32.0
10999,HD+,Android 12,Mediatek,4,5000,4,64,Motorola,6.5,50.0,16.0
14990,Full HD+,Android 11,Snapdragon,4,6000,4,64,Motorola,6.78,64.0,16.0
7490,HD+,Android 12,Mediatek,4,5000,4,64,Motorola,6.5,16.0,8.0
13999,Full HD+,Android 12,Snapdragon,4,5000,6,128,Motorola,6.6,50.0,16.0
24999,Full HD+,Android 12,Snapdragon,5,4020,6,128,Motorola,6.55,50.0,32.0
13999,Full HD+,Android 12,Snapdragon,4,5000,6,128,Motorola,6.6,50.0,16.0
7499,HD+,other,Mediatek,4,5000,4,64,MOTOROLA,6.5,16.0,8.0
21450,Full HD+,Android 11,Mediatek,5,5000,6,128,Motorola,6.67,108.0,32.0
26999,Full HD+,Android 12,Snapdragon,5,4020,8,128,Motorola,6.55,50.0,32.0
18999,Full HD+,Android 11,Mediatek,5,5000,6,128,Motorola,6.67,108.0,32.0
7899,HD+,Android 10,Mediatek,4,5000,4,64,Motorola,6.51,13.0,5.0
9999,Full HD+,other,Exynos,4,3500,4,128,Motorola,6.3,12.0,12.0
12499,HD+,Android 11,Snapdragon,4,5000,4,64,Motorola,6.51,64.0,13.0
13890,Full HD+,Android 11,Snapdragon,5,5000,4,64,Motorola,6.8,50.0,13.0
10999,HD+,Android 12,Mediatek,4,5000,4,64,Motorola,6.5,50.0,16.0
10999,Full HD+,Android 12,Snapdragon,4,5000,4,64,Motorola,6.6,50.0,16.0
